,iso3,long,lat,SSP1,SSP3,SSP5
4443,IRQ21465.0,30.5,45.5,20.81,28.2,-4.84
4444,IRQ21466.0,30.5,46.5,138.26,159.99,7.72
4445,IRQ21467.0,30.5,47.5,3.15,-5.78,3.97
4446,IRQ21468.0,30.5,48.5,17.56,21.02,-1.89
4447,IRQ21827.0,29.5,47.5,12.37,18.0,6.81
4448,IRQ21828.0,29.5,48.5,329.61,387.86,65.56
4449,KOR19027.0,37.5,127.5,22.73,29.28,-6.92
4450,KOR19028.0,37.5,128.5,72.98,81.61,8.86
4451,KOR19029.0,37.5,129.5,146.97,162.94,36.55
4452,KOR19386.0,36.5,126.5,84.15,123.35,20.36
4453,KOR19387.0,36.5,127.5,-0.0,-0.35,-0.3
4454,KOR19388.0,36.5,128.5,179.9,2.64,41.01
4455,KOR19389.0,36.5,129.5,0.0,0.0,0.0
4456,KOR19746.0,35.5,126.5,29.51,0.0,4.73
4457,KOR19747.0,35.5,127.5,5.38,0.07,0.57
4458,KOR19748.0,35.5,128.5,2.53,0.69,0.42
4459,KOR19749.0,35.5,129.5,234.31,3.17,53.12
4460,KOR20106.0,34.5,126.5,40.53,4.36,13.38
4461,KOR20107.0,34.5,127.5,0.0,0.0,0.0
4462,KOR20108.0,34.5,128.5,0.0,0.0,0.0
4463,KOR20466.0,33.5,126.5,89.91,-8.82,14.27
4464,GIB19254.0,36.5,-5.5,364.39,-60.65,-25.71
4465,DZA19260.0,36.5,0.5,35.75,-17.73,-12.27
4466,DZA19261.0,36.5,1.5,24.85,-24.15,-15.38
4467,DZA19262.0,36.5,2.5,15.94,-5.23,-1.82
4468,DZA19263.0,36.5,3.5,-9.36,-16.98,-19.82
4469,DZA19264.0,36.5,4.5,-25.51,-20.96,-32.0
4470,DZA19265.0,36.5,5.5,13.54,-52.29,-35.17
4471,DZA19266.0,36.5,6.5,-1.32,-8.26,-4.73
4472,DZA19267.0,36.5,7.5,-100.0,-100.0,-50.0
4473,DZA19268.0,36.5,8.5,-100.0,-100.0,-100.0
4474,DZA19617.0,35.5,-2.5,0.0,0.0,0.0
4475,DZA19618.0,35.5,-1.5,-99.59,-97.83,-39.4
4476,DZA19619.0,35.5,-0.5,-100.0,-100.0,-32.97
4477,DZA19620.0,35.5,0.5,-43.99,-99.16,-38.01
4478,DZA19621.0,35.5,1.5,-38.2,-100.0,-38.2
4479,DZA19622.0,35.5,2.5,-77.26,-100.0,-77.5
4480,DZA19623.0,35.5,3.5,-76.69,-99.49,-76.69
4481,DZA19624.0,35.5,4.5,-90.5,-55.48,-59.39
4482,DZA19625.0,35.5,5.5,-100.0,-100.0,-67.26
4483,DZA19626.0,35.5,6.5,-90.85,-92.96,-92.72
4484,DZA19627.0,35.5,7.5,-100.0,-100.0,-100.0
4485,DZA19628.0,35.5,8.5,-37.91,-36.96,-36.01
4486,DZA19977.0,34.5,-2.5,135.44,99.55,-54.97
4487,DZA19978.0,34.5,-1.5,-98.69,-98.97,-60.59
4488,DZA19979.0,34.5,-0.5,-66.77,-74.09,-72.48
4489,DZA19980.0,34.5,0.5,-100.0,-100.0,-65.57
4490,DZA19981.0,34.5,1.5,-100.0,-100.0,-100.0
4491,DZA19982.0,34.5,2.5,-79.76,-87.54,41.04
4492,DZA19983.0,34.5,3.5,-96.44,-100.0,-41.21
4493,DZA19985.0,34.5,5.5,-92.37,-91.58,-59.63
4494,DZA20343.0,33.5,3.5,0.0,-98.5,0.0
4495,DZA20345.0,33.5,5.5,-0.7,-19.3,-19.26
4496,DZA20346.0,33.5,6.5,-6.77,-79.33,-53.22
4497,DZA20347.0,33.5,7.5,45.7,-25.98,82.87
4498,MLT19274.0,36.5,14.5,78.83,-8.82,-3.97
4499,MAR19613.0,35.5,-6.5,2.05,-9.56,-4.18
4500,MAR19614.0,35.5,-5.5,10.71,-15.89,-11.07
4501,MAR19615.0,35.5,-4.5,40.77,-5.61,-4.2
4502,MAR19616.0,35.5,-3.5,-0.26,-95.07,-13.56
4503,MAR19973.0,34.5,-6.5,-1.19,-97.27,-21.99
4504,MAR19974.0,34.5,-5.5,-0.75,-99.41,-81.51
4505,MAR19975.0,34.5,-4.5,-3.68,-99.85,-94.31
4506,MAR19976.0,34.5,-3.5,-40.82,-98.43,-65.82
4507,MAR20331.0,33.5,-8.5,-6.83,-96.94,-21.03
4508,MAR20332.0,33.5,-7.5,-0.51,-99.33,-75.92
4509,MAR20333.0,33.5,-6.5,-11.98,-98.91,-83.96
4510,MAR20334.0,33.5,-5.5,-18.01,-95.26,-68.21
4511,MAR20335.0,33.5,-4.5,-6.92,-79.12,-37.46
4512,MAR20336.0,33.5,-3.5,50.71,7.61,35.17
4513,MAR20337.0,33.5,-2.5,-7.54,-14.86,-14.23
4514,MAR20690.0,32.5,-9.5,230.35,-33.12,-18.05
4515,MAR20691.0,32.5,-8.5,-2.69,-27.63,-21.05
4516,MAR20692.0,32.5,-7.5,0.0,0.0,-11.31
4517,MAR20693.0,32.5,-6.5,0.0,-79.07,100.0
4518,MAR20694.0,32.5,-5.5,3132.74,3132.74,-71.74
4519,MAR20695.0,32.5,-4.5,37.72,175.44,8.55
4520,MAR21050.0,31.5,-9.5,-31.0,-15.67,-13.49
4521,MAR21051.0,31.5,-8.5,45.18,-92.95,0.83
4522,MAR21052.0,31.5,-7.5,-2.0,-87.62,-16.01
4523,MAR21053.0,31.5,-6.5,-7.56,-97.13,-43.18
4524,MAR21410.0,30.5,-9.5,-1.46,-99.32,-73.89
4525,MAR21411.0,30.5,-8.5,-14.2,-98.26,-50.14
4526,MAR21412.0,30.5,-7.5,0.0,-91.13,-34.01
4527,CYP19652.0,35.5,32.5,-87.07,-100.0,18.02
4528,CYP19653.0,35.5,33.5,-100.0,24707.68,881.55
4529,CYP19654.0,35.5,34.5,-45.8,-27.52,11537665443165.47
4530,CYP20012.0,34.5,32.5,9.12,-100.0,56.65
4531,CYP20013.0,34.5,33.5,-100.0,-100.0,3637.18
4532,PAK19692.0,35.5,72.5,206.4,-32.45,182.52
4533,PAK19693.0,35.5,73.5,4.54,6.09,-0.18
4534,PAK19694.0,35.5,74.5,34.23,44.16,-7.09
4535,PAK19695.0,35.5,75.5,24.06,38.31,-6.68
4536,PAK20052.0,34.5,72.5,-8.68,-32.15,2.38
4537,PAK20411.0,33.5,71.5,-7.33,-25.7,8.59
4538,PAK20412.0,33.5,72.5,-34.89,-77.99,20.42
4539,PAK20770.0,32.5,70.5,-34.09,-77.14,25.84
4540,PAK20771.0,32.5,71.5,39.54,54.07,-6.5
4541,PAK20772.0,32.5,72.5,32.53,50.47,-13.71
4542,PAK20773.0,32.5,73.5,5.85,-13.74,23.66
4543,PAK21130.0,31.5,70.5,13.46,-37.14,31.69
4544,PAK21131.0,31.5,71.5,18.19,13.82,-3.39
4545,PAK21132.0,31.5,72.5,55.37,59.03,-12.03
4546,PAK21133.0,31.5,73.5,241.68,273.56,32.09
4547,PAK21487.0,30.5,67.5,181.61,243.81,21.84
4548,PAK21488.0,30.5,68.5,211.21,209.52,8.95
4549,PAK21489.0,30.5,69.5,78.6,59.87,51.15
4550,PAK21490.0,30.5,70.5,82.97,85.37,15.27
4551,PAK21491.0,30.5,71.5,0.0,0.0,0.0
4552,PAK21492.0,30.5,72.5,0.0,0.0,0.0
4553,PAK21847.0,29.5,67.5,19.93,-0.01,3.8
4554,PAK21848.0,29.5,68.5,16.47,-2.9,2.28
4555,PAK21849.0,29.5,69.5,2.99,0.17,0.58
4556,PAK21850.0,29.5,70.5,57.85,0.39,3.7
4557,PAK21851.0,29.5,71.5,187.08,3.67,34.98
4558,PAK22205.0,28.5,65.5,108.68,1.85,21.59
4559,PAK22206.0,28.5,66.5,983.55,50.42,178.92
4560,PAK22207.0,28.5,67.5,0.0,0.0,0.0
4561,PAK22208.0,28.5,68.5,0.0,0.0,0.0
4562,PAK22209.0,28.5,69.5,17.45,0.27,3.9
4563,PAK22564.0,27.5,64.5,29.78,0.3,3.91
