,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
21,9926.0,FIN9926.0,2.85,7.8,28.1,32.02,4.29,2.85,31.06,31.02,41.93,62.5,26.5
22,9927.0,FIN9927.0,0.63,2.73,2.73,2.73,2.73,0.6,0.82,0.8,2.64,62.5,27.5
23,9928.0,FIN9928.0,0.12,20.33,30.52,36.42,0.38,0.12,0.55,0.39,4.79,62.5,28.5
24,9929.0,FIN9929.0,0.0,7.91,8.55,9.56,3.98,0.0,0.0,0.0,0.43,62.5,29.5
25,9930.0,FIN9930.0,0.02,5.79,16.11,18.69,0.88,0.01,0.04,0.03,0.28,62.5,30.5
26,9931.0,FIN9931.0,3.63,9.39,9.39,9.39,9.82,4.21,8.95,8.54,15.86,62.5,31.5
27,10281.0,FIN10281.0,0.0,0.14,0.35,0.35,0.13,0.0,1.9,1.72,3.38,61.5,21.5
28,10282.0,FIN10282.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,1.74,1.74,61.5,22.5
29,10283.0,FIN10283.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,23.5
30,10284.0,FIN10284.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,24.5
