,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
3938,17488.0,BGR17488.0,99.59,99.41,99.33,99.13,99.04,99.04,98.92,98.92,99.03,41.5,28.5
3939,17134.0,TUR17134.0,78.78,84.92,85.96,90.87,91.35,91.35,91.74,91.66,91.29,42.5,34.5
3940,17135.0,TUR17135.0,89.49,99.07,98.94,99.36,99.3,99.3,99.57,99.6,99.69,42.5,35.5
3941,17489.0,TUR17489.0,37.46,84.32,85.42,99.97,100.0,100.0,100.0,100.0,100.0,41.5,29.5
3942,17490.0,TUR17490.0,55.54,88.14,90.84,99.96,100.0,100.0,100.0,100.0,100.0,41.5,30.5
3943,17491.0,TUR17491.0,50.0,50.0,50.0,67.65,85.35,100.0,100.0,100.0,100.0,41.5,31.5
3944,17492.0,TUR17492.0,50.0,51.85,76.29,95.32,100.0,100.0,100.0,100.0,100.0,41.5,32.5
3945,17493.0,TUR17493.0,50.0,0.0,41.98,94.68,99.39,100.0,100.0,100.0,100.0,41.5,33.5
3946,17494.0,TUR17494.0,0.0,0.0,0.0,98.59,100.0,100.0,100.0,100.0,100.0,41.5,34.5
3947,17495.0,TUR17495.0,0.0,0.0,2.17,96.21,100.0,100.0,100.0,100.0,100.0,41.5,35.5
3948,17496.0,TUR17496.0,50.0,0.0,0.0,45.47,100.0,100.0,100.0,100.0,100.0,41.5,36.5
3949,17497.0,TUR17497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,37.5
3950,17499.0,TUR17499.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,39.5
3951,17847.0,TUR17847.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,27.5
3952,17848.0,TUR17848.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,28.5
3953,17849.0,TUR17849.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,29.5
3954,17850.0,TUR17850.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,30.5
3955,17851.0,TUR17851.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,31.5
3956,17852.0,TUR17852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,32.5
3957,17853.0,TUR17853.0,0.0,0.0,0.09,7.38,98.71,99.5,80.79,99.94,98.78,40.5,33.5
3958,17854.0,TUR17854.0,20.73,22.35,25.9,68.76,95.23,95.53,90.77,96.14,95.79,40.5,34.5
3959,17855.0,TUR17855.0,42.25,49.5,56.35,71.09,75.03,74.35,74.84,87.15,86.55,40.5,35.5
3960,17856.0,TUR17856.0,69.65,90.21,92.88,96.1,96.53,96.48,96.51,96.74,96.63,40.5,36.5
3961,17857.0,TUR17857.0,66.95,73.85,81.5,91.89,98.25,98.26,98.36,98.48,98.46,40.5,37.5
3962,17858.0,TUR17858.0,20.48,32.56,34.02,67.05,86.39,87.19,83.79,98.98,94.6,40.5,38.5
3963,17859.0,TUR17859.0,12.26,24.65,25.73,42.26,65.64,66.04,62.94,99.84,90.99,40.5,39.5
3964,17860.0,TUR17860.0,50.0,50.0,50.0,0.0,3.57,4.94,22.13,98.4,39.95,40.5,40.5
3965,17861.0,TUR17861.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,94.28,0.0,40.5,41.5
3966,17862.0,TUR17862.0,50.0,50.0,50.0,50.0,11.42,11.42,1.94,97.02,1.75,40.5,42.5
3967,18207.0,TUR18207.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,39.5,27.5
3968,18208.0,TUR18208.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,39.5,28.5
3969,18209.0,TUR18209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,29.5
3970,18210.0,TUR18210.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,39.5,30.5
3971,18211.0,TUR18211.0,50.0,50.0,50.0,50.0,50.0,75.49,100.0,50.0,75.49,39.5,31.5
3972,18212.0,TUR18212.0,50.0,100.0,100.0,98.25,98.25,89.53,97.64,100.0,88.74,39.5,32.5
3973,18213.0,TUR18213.0,79.22,75.01,89.63,95.33,99.97,98.59,99.35,100.0,98.59,39.5,33.5
3974,18214.0,TUR18214.0,98.89,98.74,99.27,99.69,100.0,100.0,100.0,100.0,100.0,39.5,34.5
3975,18215.0,TUR18215.0,60.66,62.31,65.44,74.14,99.67,99.84,99.7,99.67,99.84,39.5,35.5
3976,18216.0,TUR18216.0,72.34,71.9,77.4,83.73,94.84,96.24,95.45,94.57,96.24,39.5,36.5
3977,18217.0,TUR18217.0,54.95,43.45,62.54,53.7,96.57,95.59,94.48,100.0,94.6,39.5,37.5
3978,18218.0,TUR18218.0,87.72,84.84,84.97,88.49,98.46,98.62,97.65,97.79,98.53,39.5,38.5
3979,18219.0,TUR18219.0,83.65,84.36,85.12,88.08,99.18,99.74,99.05,99.05,99.74,39.5,39.5
3980,18220.0,TUR18220.0,90.65,90.58,90.58,90.44,90.45,90.49,90.53,90.58,90.49,39.5,40.5
3981,18221.0,TUR18221.0,95.69,95.67,95.67,95.66,95.67,95.79,95.68,95.67,95.79,39.5,41.5
3982,18222.0,TUR18222.0,99.37,99.29,99.47,99.47,99.67,99.71,99.67,99.67,99.71,39.5,42.5
3983,18223.0,TUR18223.0,99.65,99.57,99.67,99.66,99.97,99.97,99.97,99.98,99.97,39.5,43.5
3984,18567.0,TUR18567.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.5,27.5
3985,18568.0,TUR18568.0,99.48,99.42,99.55,99.6,99.99,99.99,99.99,99.99,99.99,38.5,28.5
3986,18569.0,TUR18569.0,98.55,98.41,98.58,98.64,99.32,99.32,99.3,99.37,99.31,38.5,29.5
3987,18570.0,TUR18570.0,91.07,90.87,91.57,92.47,96.35,97.3,96.52,96.31,97.26,38.5,30.5
3988,18571.0,TUR18571.0,76.73,77.67,78.05,80.72,85.17,94.8,87.8,83.85,93.92,38.5,31.5
3989,18572.0,TUR18572.0,86.42,86.83,87.19,88.73,92.32,95.73,92.6,91.63,95.55,38.5,32.5
3990,18573.0,TUR18573.0,25.08,25.08,25.08,26.49,26.49,24.1,24.14,25.27,25.31,38.5,33.5
3991,18574.0,TUR18574.0,58.56,62.66,62.26,65.7,0.19,0.13,0.0,0.0,0.0,38.5,34.5
3992,18575.0,TUR18575.0,42.14,41.78,41.8,42.17,27.1,19.83,24.13,19.6,24.13,38.5,35.5
3993,18576.0,TUR18576.0,22.69,21.14,20.85,22.59,20.18,20.18,18.51,16.75,18.51,38.5,36.5
3994,18577.0,TUR18577.0,0.0,0.06,0.74,0.74,0.84,0.84,0.9,0.11,0.9,38.5,37.5
3995,18578.0,TUR18578.0,3.68,7.4,11.91,11.92,12.1,12.1,10.93,7.88,10.93,38.5,38.5
3996,18579.0,TUR18579.0,0.0,1.02,1.56,1.74,0.51,0.51,0.16,0.0,0.16,38.5,39.5
3997,18580.0,TUR18580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,40.5
3998,18581.0,TUR18581.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,41.5
3999,18582.0,TUR18582.0,50.0,0.0,0.0,0.13,0.29,11.09,22.62,19.86,33.89,38.5,42.5
4000,18583.0,TUR18583.0,50.0,2.11,6.76,11.84,21.2,42.88,32.97,44.14,44.14,38.5,43.5
4001,18928.0,TUR18928.0,45.01,76.37,76.43,81.04,81.46,78.85,82.66,82.08,83.33,37.5,28.5
4002,18929.0,TUR18929.0,25.84,45.15,46.01,58.01,56.37,55.61,56.22,64.12,61.12,37.5,29.5
4003,18930.0,TUR18930.0,0.0,17.73,17.72,30.25,26.53,22.89,19.3,30.61,23.18,37.5,30.5
4004,18931.0,TUR18931.0,56.96,78.92,79.18,98.39,97.64,95.97,86.93,98.47,97.14,37.5,31.5
4005,18932.0,TUR18932.0,59.51,97.7,97.7,97.61,97.61,97.7,97.7,97.7,97.73,37.5,32.5
4006,18933.0,TUR18933.0,0.0,21.85,21.79,24.29,24.29,21.83,21.86,21.8,21.57,37.5,33.5
4007,18934.0,TUR18934.0,0.0,17.63,17.67,21.67,21.61,17.64,18.05,18.2,18.13,37.5,34.5
4008,18935.0,TUR18935.0,50.0,0.0,0.0,2.02,0.41,0.0,0.0,3.7,0.0,37.5,35.5
4009,18936.0,TUR18936.0,0.0,10.09,11.68,19.01,17.57,23.15,18.16,28.23,24.58,37.5,36.5
4010,18937.0,TUR18937.0,27.34,89.19,94.08,98.04,98.05,98.33,99.1,98.89,99.24,37.5,37.5
4011,18938.0,TUR18938.0,50.0,2.31,2.31,2.49,2.49,2.31,3.51,3.51,3.51,37.5,38.5
4012,18939.0,TUR18939.0,0.0,26.66,29.08,63.38,54.26,51.8,43.18,74.76,56.02,37.5,39.5
4013,19289.0,TUR19289.0,20.06,52.33,57.41,85.69,80.98,75.87,68.45,87.26,78.3,36.5,29.5
4014,19290.0,TUR19290.0,12.69,47.82,47.76,52.87,51.55,50.5,48.78,54.7,51.6,36.5,30.5
4015,19291.0,TUR19291.0,22.56,59.69,59.71,68.66,68.32,62.9,62.23,65.44,63.82,36.5,31.5
4016,19292.0,TUR19292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,32.5
4017,19293.0,TUR19293.0,0.0,99.99,99.94,99.36,99.36,100.0,100.0,99.95,99.95,36.5,33.5
4018,19294.0,TUR19294.0,50.0,94.18,95.28,97.36,97.35,94.74,94.79,95.71,95.83,36.5,34.5
4019,19295.0,TUR19295.0,2.45,86.94,90.05,97.7,97.64,97.14,98.21,98.53,99.04,36.5,35.5
4020,17141.0,GEO17141.0,0.0,92.69,94.24,97.08,97.04,97.44,97.89,98.23,98.17,42.5,41.5
4021,17142.0,GEO17142.0,50.0,85.64,88.67,93.62,93.65,92.93,92.59,92.99,92.9,42.5,42.5
4022,17501.0,GEO17501.0,50.0,58.69,76.03,95.31,95.3,93.5,92.03,94.09,94.09,41.5,41.5
4023,17502.0,GEO17502.0,0.0,35.6,40.67,88.37,87.55,86.06,71.68,90.69,88.99,41.5,42.5
4024,17503.0,GEO17503.0,0.0,17.69,17.77,35.51,34.5,28.25,25.44,32.88,29.96,41.5,43.5
4025,17504.0,GEO17504.0,36.78,69.33,71.28,79.38,79.14,75.6,73.31,77.26,76.33,41.5,44.5
4026,17505.0,GEO17505.0,11.25,49.18,48.04,58.75,57.46,52.96,51.99,55.83,53.74,41.5,45.5
4027,17158.0,TKM17158.0,50.0,6.73,10.19,66.0,60.86,62.43,52.95,73.16,59.81,42.5,58.5
