,fid,GRIDCODE,region,country,lat,lng,iso3
339,12126,12127,Eurasia,Russia,56.5,66.5,RUS
340,12127,12128,Eurasia,Russia,56.5,67.5,RUS
341,12128,12129,Eurasia,Russia,56.5,68.5,RUS
342,12129,12130,Eurasia,Russia,56.5,69.5,RUS
343,12130,12131,Eurasia,Russia,56.5,70.5,RUS
344,12131,12132,Eurasia,Russia,56.5,71.5,RUS
345,12132,12133,Eurasia,Russia,56.5,72.5,RUS
346,12133,12134,Eurasia,Russia,56.5,73.5,RUS
347,12134,12135,Eurasia,Russia,56.5,74.5,RUS
348,12135,12136,Eurasia,Russia,56.5,75.5,RUS
349,12136,12137,Eurasia,Russia,56.5,76.5,RUS
350,12137,12138,Eurasia,Russia,56.5,77.5,RUS
351,12138,12139,Eurasia,Russia,56.5,78.5,RUS
352,12139,12140,Eurasia,Russia,56.5,79.5,RUS
353,12140,12141,Eurasia,Russia,56.5,80.5,RUS
354,12141,12142,Eurasia,Russia,56.5,81.5,RUS
355,12142,12143,Eurasia,Russia,56.5,82.5,RUS
356,12143,12144,Eurasia,Russia,56.5,83.5,RUS
357,12144,12145,Eurasia,Russia,56.5,84.5,RUS
358,12145,12146,Eurasia,Russia,56.5,85.5,RUS
359,12146,12147,Eurasia,Russia,56.5,86.5,RUS
360,12147,12148,Eurasia,Russia,56.5,87.5,RUS
361,12148,12149,Eurasia,Russia,56.5,88.5,RUS
362,12149,12150,Eurasia,Russia,56.5,89.5,RUS
363,12150,12151,Eurasia,Russia,56.5,90.5,RUS
364,12151,12152,Eurasia,Russia,56.5,91.5,RUS
365,12152,12153,Eurasia,Russia,56.5,92.5,RUS
366,12153,12154,Eurasia,Russia,56.5,93.5,RUS
367,12154,12155,Eurasia,Russia,56.5,94.5,RUS
368,12155,12156,Eurasia,Russia,56.5,95.5,RUS
369,12156,12157,Eurasia,Russia,56.5,96.5,RUS
370,12157,12158,Eurasia,Russia,56.5,97.5,RUS
371,12159,12160,Eurasia,Russia,56.5,99.5,RUS
372,12448,12449,Eurasia,Russia,55.5,28.5,RUS
373,12449,12450,Eurasia,Russia,55.5,29.5,RUS
374,12450,12451,Eurasia,Russia,55.5,30.5,RUS
375,12451,12452,Eurasia,Russia,55.5,31.5,RUS
376,12452,12453,Eurasia,Russia,55.5,32.5,RUS
377,12453,12454,Eurasia,Russia,55.5,33.5,RUS
378,12454,12455,Eurasia,Russia,55.5,34.5,RUS
379,12455,12456,Eurasia,Russia,55.5,35.5,RUS
380,12456,12457,Eurasia,Russia,55.5,36.5,RUS
381,12457,12458,Eurasia,Russia,55.5,37.5,RUS
382,12458,12459,Eurasia,Russia,55.5,38.5,RUS
383,12459,12460,Eurasia,Russia,55.5,39.5,RUS
384,12460,12461,Eurasia,Russia,55.5,40.5,RUS
385,12461,12462,Eurasia,Russia,55.5,41.5,RUS
386,12462,12463,Eurasia,Russia,55.5,42.5,RUS
387,12463,12464,Eurasia,Russia,55.5,43.5,RUS
388,12464,12465,Eurasia,Russia,55.5,44.5,RUS
389,12465,12466,Eurasia,Russia,55.5,45.5,RUS
390,12466,12467,Eurasia,Russia,55.5,46.5,RUS
391,12467,12468,Eurasia,Russia,55.5,47.5,RUS
392,12468,12469,Eurasia,Russia,55.5,48.5,RUS
393,12469,12470,Eurasia,Russia,55.5,49.5,RUS
394,12470,12471,Eurasia,Russia,55.5,50.5,RUS
395,12471,12472,Eurasia,Russia,55.5,51.5,RUS
396,12472,12473,Eurasia,Russia,55.5,52.5,RUS
397,12473,12474,Eurasia,Russia,55.5,53.5,RUS
398,12474,12475,Eurasia,Russia,55.5,54.5,RUS
399,12475,12476,Eurasia,Russia,55.5,55.5,RUS
400,12476,12477,Eurasia,Russia,55.5,56.5,RUS
401,12477,12478,Eurasia,Russia,55.5,57.5,RUS
402,12478,12479,Eurasia,Russia,55.5,58.5,RUS
403,12479,12480,Eurasia,Russia,55.5,59.5,RUS
404,12480,12481,Eurasia,Russia,55.5,60.5,RUS
405,12481,12482,Eurasia,Russia,55.5,61.5,RUS
406,12482,12483,Eurasia,Russia,55.5,62.5,RUS
407,12483,12484,Eurasia,Russia,55.5,63.5,RUS
408,12484,12485,Eurasia,Russia,55.5,64.5,RUS
409,12485,12486,Eurasia,Russia,55.5,65.5,RUS
410,12486,12487,Eurasia,Russia,55.5,66.5,RUS
411,12487,12488,Eurasia,Russia,55.5,67.5,RUS
412,12488,12489,Eurasia,Russia,55.5,68.5,RUS
413,12489,12490,Eurasia,Russia,55.5,69.5,RUS
414,12490,12491,Eurasia,Russia,55.5,70.5,RUS
415,12491,12492,Eurasia,Russia,55.5,71.5,RUS
416,12492,12493,Eurasia,Russia,55.5,72.5,RUS
417,12493,12494,Eurasia,Russia,55.5,73.5,RUS
418,12494,12495,Eurasia,Russia,55.5,74.5,RUS
419,12495,12496,Eurasia,Russia,55.5,75.5,RUS
420,12496,12497,Eurasia,Russia,55.5,76.5,RUS
421,12497,12498,Eurasia,Russia,55.5,77.5,RUS
422,12498,12499,Eurasia,Russia,55.5,78.5,RUS
423,12499,12500,Eurasia,Russia,55.5,79.5,RUS
424,12500,12501,Eurasia,Russia,55.5,80.5,RUS
425,12501,12502,Eurasia,Russia,55.5,81.5,RUS
426,12502,12503,Eurasia,Russia,55.5,82.5,RUS
427,12503,12504,Eurasia,Russia,55.5,83.5,RUS
428,12504,12505,Eurasia,Russia,55.5,84.5,RUS
429,12505,12506,Eurasia,Russia,55.5,85.5,RUS
430,12506,12507,Eurasia,Russia,55.5,86.5,RUS
431,12507,12508,Eurasia,Russia,55.5,87.5,RUS
432,12508,12509,Eurasia,Russia,55.5,88.5,RUS
433,12509,12510,Eurasia,Russia,55.5,89.5,RUS
434,12510,12511,Eurasia,Russia,55.5,90.5,RUS
435,12511,12512,Eurasia,Russia,55.5,91.5,RUS
436,12512,12513,Eurasia,Russia,55.5,92.5,RUS
437,12513,12514,Eurasia,Russia,55.5,93.5,RUS
438,12514,12515,Eurasia,Russia,55.5,94.5,RUS
439,12515,12516,Eurasia,Russia,55.5,95.5,RUS
