,fid,iso3,1850,1900,1910,1945,1980,2015,SSP1,SSP3,SSP5,long,lat
8099,36329.0,PNG36329.0,100.0,100.0,100.0,96.94,96.96,97.42,97.73,97.43,97.43,-10.5,149.5
8100,36330.0,PNG36330.0,100.0,99.21,99.21,87.63,87.66,89.57,89.58,89.61,89.57,-10.5,150.5
8101,36331.0,PNG36331.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-10.5,151.5
8102,33584.0,PER33584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-75.5
8103,33586.0,PER33586.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,98.91,100.0,-3.5,-73.5
8104,33587.0,PER33587.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,-3.5,-72.5
8105,33588.0,PER33588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-71.5
8106,33938.0,PER33938.0,100.0,100.0,100.0,95.22,79.79,44.92,74.1,20.15,28.9,-4.5,-81.5
8107,33942.0,PER33942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-77.5
8108,33943.0,PER33943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,-4.5,-76.5
8109,33944.0,PER33944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-75.5
8110,33946.0,PER33946.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,-4.5,-73.5
8111,34299.0,PER34299.0,0.0,100.0,100.0,100.0,99.45,81.94,97.93,31.74,58.41,-5.5,-80.5
8112,34301.0,PER34301.0,0.0,0.0,100.0,94.76,28.77,13.84,23.4,5.41,8.94,-5.5,-78.5
8113,34302.0,PER34302.0,0.0,0.0,0.0,100.0,99.6,89.77,98.47,80.22,81.43,-5.5,-77.5
8114,34303.0,PER34303.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,95.74,100.0,-5.5,-76.5
8115,34304.0,PER34304.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,-5.5,-75.5
8116,34305.0,PER34305.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,-5.5,-74.5
8117,34659.0,PER34659.0,0.0,0.0,0.0,100.0,99.95,95.3,97.34,60.45,61.91,-6.5,-80.5
8118,34660.0,PER34660.0,100.0,99.96,98.3,94.25,81.42,70.92,80.08,31.9,57.01,-6.5,-79.5
8119,34661.0,PER34661.0,0.0,0.0,100.0,28.57,3.13,0.68,0.97,0.95,0.66,-6.5,-78.5
8120,34662.0,PER34662.0,0.0,0.0,0.0,100.0,86.39,56.12,79.31,58.84,56.06,-6.5,-77.5
8121,34663.0,PER34663.0,0.0,0.0,100.0,100.0,97.07,70.8,96.82,48.51,65.77,-6.5,-76.5
8122,34664.0,PER34664.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,-6.5,-75.5
8123,34665.0,PER34665.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,-6.5,-74.5
8124,35020.0,PER35020.0,100.0,100.0,100.0,98.2,88.06,55.18,80.17,17.97,35.88,-7.5,-79.5
8125,35021.0,PER35021.0,0.0,0.0,0.0,65.16,20.6,3.84,10.5,2.8,2.78,-7.5,-78.5
8126,35022.0,PER35022.0,0.0,0.0,0.0,85.36,2.66,1.35,2.35,3.22,1.52,-7.5,-77.5
8127,35023.0,PER35023.0,0.0,0.0,0.0,100.0,100.0,98.83,99.66,84.25,93.66,-7.5,-76.5
